ID	age	sex	n_babies	observer	year	pop_size	weight
21	0	f	2	20	1980	129	3.7824723932514033
53	0	m	2	9	1980	129	4.4857950688677795
88	0	f	1	10	1980	129	4.89973165212882
117	0	m	1	14	1980	129	4.491684039852403
178	0	m	0	1	1980	129	5.021507507427155
226	0	m	0	13	1980	129	3.918604127308456
572	0	f	0	8	1980	129	3.813886770632897
588	0	m	1	11	1980	129	4.0532387855382765
604	0	m	0	3	1980	129	4.262315186359668
631	0	f	1	3	1980	129	4.151564816439605
642	0	m	2	6	1980	129	4.394064062456146
698	0	f	2	2	1980	129	3.7907358038411267
716	0	m	0	6	1980	129	3.3163255445418307
746	0	f	2	4	1980	129	4.3067588633731955
756	0	f	1	1	1980	129	3.6513291207026817
829	0	m	0	7	1980	129	4.9428127259618115
844	0	f	1	11	1980	129	3.3204555174294903
8	0	m	1	13	1981	151	3.6388680664144095
21	1	f	1	20	1981	151	4.488853724460069
26	0	f	0	10	1981	151	3.887173882266321
42	0	m	2	5	1981	151	4.767141895454579
53	1	m	0	12	1981	151	5.0946227239191675
75	0	m	2	2	1981	151	3.234364836605484
88	1	f	1	8	1981	151	5.670183797076682
160	0	m	1	4	1981	151	3.741748862310479
195	0	f	2	18	1981	151	4.036744066229493
226	1	m	0	3	1981	151	4.495267528742181
264	0	f	1	19	1981	151	3.5351623221366917
281	0	m	2	17	1981	151	3.9986650243523996
334	0	m	2	10	1981	151	4.398110391075508
352	0	m	0	9	1981	151	4.823268607949345
372	0	m	1	12	1981	151	4.704101601336944
510	0	m	1	5	1981	151	NA
526	0	f	2	7	1981	151	4.069372836783306
552	0	f	2	14	1981	151	2.8729128092223615
562	0	m	2	18	1981	151	3.335752365273314
572	1	f	2	3	1981	151	4.345957794745945
576	0	f	1	3	1981	151	3.9513608596059706
588	1	m	1	2	1981	151	4.839476024209296
616	0	f	1	1	1981	151	3.676741833713667
631	1	f	1	15	1981	151	4.9764400236224935
642	1	m	1	7	1981	151	4.778362538890733
643	0	f	1	16	1981	151	2.610240260922956
650	0	f	0	4	1981	151	3.2960383907092514
662	0	m	0	16	1981	151	3.212750635409404
698	1	f	2	9	1981	151	3.994301147360616
716	1	m	2	4	1981	151	3.995648199038966
746	1	f	1	4	1981	151	4.481691446666499
756	1	f	0	19	1981	151	4.642615183469967
769	0	m	0	14	1981	151	3.8145874729768283
778	0	m	2	12	1981	151	NA
787	0	f	2	8	1981	151	3.0474806727984682
829	1	m	2	8	1981	151	NA
844	1	f	0	19	1981	151	NA
861	0	m	1	17	1981	151	3.0548983701942936
864	0	m	1	1	1981	151	5.339742297608967
889	0	f	1	9	1981	151	4.019388655568185
5	0	f	2	12	1982	147	NA
8	1	m	0	16	1982	147	4.158730271801744
21	2	f	2	10	1982	147	4.968119523881986
26	1	f	0	7	1982	147	4.145771190389284
36	0	m	2	5	1982	147	5.302454336061837
53	2	m	0	14	1982	147	6.045864888106498
75	1	m	0	12	1982	147	3.5686072287694777
88	2	f	0	20	1982	147	6.039943515792967
120	0	m	2	14	1982	147	3.482363036658332
142	0	m	1	8	1982	147	5.1137945568457015
160	1	m	2	3	1982	147	4.303596308395053
172	0	m	1	3	1982	147	NA
184	0	f	1	19	1982	147	4.496927636020779
195	1	f	0	8	1982	147	4.440011815784818
207	0	f	1	6	1982	147	3.645011118230211
224	0	f	1	20	1982	147	2.6398448895879225
226	2	m	2	8	1982	147	5.073136312871843
264	1	f	0	6	1982	147	3.7946536460777245
281	1	m	2	16	1982	147	4.2143028581583275
296	0	m	0	1	1982	147	3.8229762633498856
325	0	m	1	7	1982	147	3.0994658920514184
334	1	m	1	5	1982	147	5.138992860317031
352	1	m	0	13	1982	147	5.765276573056569
372	1	m	1	8	1982	147	5.178242610293608
438	0	f	0	4	1982	147	4.275607649449488
440	0	m	0	12	1982	147	NA
442	0	f	1	10	1982	147	3.420032724008049
479	0	m	2	12	1982	147	5.071183744097755
552	1	f	0	5	1982	147	4.04324340893054
562	1	m	0	16	1982	147	NA
568	0	f	2	5	1982	147	2.740660568214832
572	2	f	2	1	1982	147	5.108712846910634
576	1	f	1	8	1982	147	4.438807405049752
588	2	m	0	19	1982	147	5.741625303921712
616	1	f	0	4	1982	147	4.40538831955726
620	0	f	0	5	1982	147	2.994108922868417
631	2	f	0	4	1982	147	5.500946647845034
642	2	m	1	15	1982	147	5.219933486289379
643	1	f	0	15	1982	147	NA
650	1	f	2	12	1982	147	3.7791278280475487
662	1	m	2	9	1982	147	4.15899768933828
675	0	m	1	9	1982	147	4.083721019483637
696	0	f	1	8	1982	147	3.087306145211136
698	2	f	1	7	1982	147	4.631719488566905
716	2	m	2	4	1982	147	4.9452457366236
726	0	m	0	12	1982	147	4.235160178330799
727	0	m	1	11	1982	147	4.248214604007645
746	2	f	1	8	1982	147	5.531351037412259
756	2	f	1	14	1982	147	4.686563316213191
769	1	m	0	17	1982	147	4.137502482869704
778	1	m	0	2	1982	147	4.972594626760596
787	1	f	2	14	1982	147	3.6288852249398396
789	0	m	0	19	1982	147	3.8300567904967067
829	2	m	2	8	1982	147	6.223666129875336
844	2	f	2	6	1982	147	4.607672135449225
861	1	m	2	13	1982	147	NA
864	1	m	0	17	1982	147	5.11689659076066
885	0	f	1	17	1982	147	3.4551225480507948
889	1	f	1	1	1982	147	4.332010550284668
5	1	f	2	20	1983	136	4.192877198865982
8	2	m	2	20	1983	136	4.867878308870831
21	3	f	0	17	1983	136	5.469316476905812
26	2	f	0	16	1983	136	4.685319730378917
36	1	m	0	8	1983	136	5.479343358436013
53	3	m	1	16	1983	136	7.059731500796656
75	2	m	1	2	1983	136	4.436424357048569
88	3	f	1	14	1983	136	NA
99	0	m	0	11	1983	136	5.232385285806468
142	1	m	0	14	1983	136	5.449785644129927
160	2	m	2	19	1983	136	5.045682879573514
174	0	m	2	20	1983	136	3.9229369223836437
184	1	f	1	18	1983	136	4.89535912405041
195	2	f	1	14	1983	136	5.605667388500214
196	0	f	0	11	1983	136	3.7193159936454765
204	0	f	2	20	1983	136	3.9507457367984884
207	1	f	0	13	1983	136	4.677858006355638
224	1	f	1	17	1983	136	3.797836549443304
